image_id,game_id,name,release_date,rating,genres,player_perspectives,platforms
scj0vg,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
scj0vf,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
scj0va,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
scj0vb,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
scj0vc,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
scj0vd,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
scj0ve,375,Metal Gear Solid,904780800,90.5502053773297,"Tactical, Adventure",Third person,"[9, 6, 7, 38]"
schnqk,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
schnql,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
schmzc,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
schmzd,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
schmze,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
schmzf,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
schmzi,427,Final Fantasy VII,854668800,90.49443975770342,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric","[9, 7, 38]"
eswubyh9h3uereuyumjq,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
e11zpyhhjc9qdqgrx7v0,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
